schema,run_id,throughput,tardiness_mean,tardiness_max,tardiness_std,wip_mean,submitted_count,completed_count,defect_rate
PROSA,0,0.013459634905626097,309.76648997636534,855.5153013231389,192.91592044758895,4.169343861079163,24,19,0.02127659574468085
PROSA,1,0.013277892025364864,301.6358506759224,612.9327376506052,176.30767577477553,4.005088256253978,24,19,0.0
PROSA,2,0.0171146773793926,115.90633034991527,169.73814207226792,42.00491789639901,1.9836994501681007,8,3,0.0
PROSA,3,0.006408248807099415,404.76152010824916,811.6509282633015,253.2283911099311,2.5938125283934337,14,9,0.0
PROSA,4,0.011111108477520304,361.2283411347106,836.516298308217,243.02006167986144,4.013647283502479,20,16,0.0
ADACOR,0,0.015481008624617267,282.23923091460074,891.5073669853405,217.3770314136028,4.369347967994278,24,19,0.02127659574468085
ADACOR,1,0.01329804658609768,323.03462076057986,901.2571002704548,211.52549462117565,4.295729435796588,24,19,0.0
ADACOR,2,0.013194264863595883,299.12263301645714,976.9634661750465,237.37816801199995,3.9467032467153267,23,19,0.0
ADACOR,3,0.011805381285752228,342.4966643931246,1326.8731894349312,296.31364803678775,4.043303712259155,21,17,0.0
ADACOR,4,0.013194285360412518,323.67895758308333,811.6428065737072,212.83634174338837,4.270712531512061,23,19,0.0
